"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","isoforest_score"
"Cell519","SeuratProject",38,36,0,-0.0974043618173572
"Cell520","SeuratProject",41,39,0,-0.11922676566074
"Cell521","SeuratProject",43,42,0,-0.125543566849907
"Cell522","SeuratProject",36,36,0,-0.0862155507256251
"Cell523","SeuratProject",46,46,0,-0.0682313220853901
"Cell524","SeuratProject",49,49,0,-0.00690570705932847
"Cell525","SeuratProject",36,32,0,-0.00826073898292223
"Cell526","SeuratProject",34,33,0,-0.0674238122874688
"Cell527","SeuratProject",35,34,0,-0.0935100874590804
"Cell528","SeuratProject",39,37,0,-0.108202743211851
"Cell529","SeuratProject",36,36,0,-0.0862155507256251
"Cell530","SeuratProject",46,42,0,-0.0535654830240082
"Cell531","SeuratProject",38,36,0,-0.0974043618173572
"Cell532","SeuratProject",46,45,0,-0.104447736368418
"Cell533","SeuratProject",37,37,0,-0.0922958951325496
"Cell534","SeuratProject",49,47,0,-0.0630020960796193
"Cell535","SeuratProject",38,37,0,-0.126165582837422
"Cell536","SeuratProject",36,34,0,-0.083049093154336
"Cell537","SeuratProject",44,43,0,-0.113107739462977
"Cell538","SeuratProject",34,33,0,-0.0674238122874688
"Cell539","SeuratProject",34,34,0,-0.0622168716309411
"Cell540","SeuratProject",43,43,0,-0.0981113095577119
"Cell541","SeuratProject",39,36,0,-0.073145077870989
"Cell542","SeuratProject",32,29,0,0.013105833611718
"Cell543","SeuratProject",41,38,0,-0.0812969822485509
"Cell544","SeuratProject",44,44,0,-0.0717491333856407
"Cell545","SeuratProject",34,32,0,-0.0423829633623423
"Cell546","SeuratProject",36,35,0,-0.100708576765086
"Cell547","SeuratProject",38,37,0,-0.126165582837422
"Cell548","SeuratProject",42,41,0,-0.132104934029768
"Cell549","SeuratProject",42,40,0,-0.116251208275036
"Cell550","SeuratProject",42,41,0,-0.132104934029768
"Cell551","SeuratProject",38,38,0,-0.120792137682289
"Cell552","SeuratProject",35,35,0,-0.0750453438428789
"Cell553","SeuratProject",35,34,0,-0.0935100874590804
"Cell554","SeuratProject",44,42,0,-0.1108684007134
"Cell555","SeuratProject",39,39,0,-0.106535913508881
"Cell556","SeuratProject",47,46,0,-0.0721330105042981
"Cell557","SeuratProject",38,36,0,-0.0974043618173572
"Cell558","SeuratProject",41,40,0,-0.140315856156687
"Cell559","SeuratProject",45,45,0,-0.089304337797713
"Cell560","SeuratProject",36,35,0,-0.100708576765086
"Cell561","SeuratProject",45,44,0,-0.106674781707554
"Cell562","SeuratProject",39,37,0,-0.108202743211851
"Cell563","SeuratProject",29,29,0,0.0345500290821616
"Cell564","SeuratProject",38,38,0,-0.120792137682289
"Cell565","SeuratProject",51,50,0,0.0050407571764014
"Cell566","SeuratProject",30,28,0,0.0333191778033766
"Cell568","SeuratProject",36,36,0,-0.0862155507256251
"Cell570","SeuratProject",48,47,0,-0.0546278183463105
"Cell571","SeuratProject",38,37,0,-0.126165582837422
"Cell572","SeuratProject",32,31,0,-0.0437250879906633
"Cell573","SeuratProject",35,35,0,-0.0750453438428789
"Cell574","SeuratProject",45,44,0,-0.106674781707554
"Cell575","SeuratProject",32,32,0,-0.0454481190212956
"Cell576","SeuratProject",40,39,0,-0.119672188357454
"Cell577","SeuratProject",31,31,0,-0.0437860536635473
"Cell578","SeuratProject",48,46,0,-0.0694425359921111
"Cell579","SeuratProject",48,46,0,-0.0694425359921111
"Cell580","SeuratProject",41,40,0,-0.140315856156687
"Cell581","SeuratProject",35,34,0,-0.0935100874590804
"Cell582","SeuratProject",46,45,0,-0.104447736368418
"Cell583","SeuratProject",34,33,0,-0.0674238122874688
"Cell584","SeuratProject",34,33,0,-0.0674238122874688
"Cell585","SeuratProject",38,38,0,-0.120792137682289
"Cell586","SeuratProject",37,35,0,-0.0848603016289688
"Cell587","SeuratProject",44,42,0,-0.1108684007134
"Cell588","SeuratProject",50,49,0,-0.0185465981334861
"Cell589","SeuratProject",38,37,0,-0.126165582837422
"Cell590","SeuratProject",35,34,0,-0.0935100874590804
"Cell591","SeuratProject",46,45,0,-0.104447736368418
"Cell592","SeuratProject",35,34,0,-0.0935100874590804
"Cell593","SeuratProject",49,49,0,-0.00690570705932847
"Cell594","SeuratProject",44,43,0,-0.113107739462977
"Cell595","SeuratProject",34,33,0,-0.0674238122874688
"Cell596","SeuratProject",39,39,0,-0.106535913508881
"Cell597","SeuratProject",37,37,0,-0.0922958951325496
"Cell598","SeuratProject",44,42,0,-0.1108684007134
"Cell599","SeuratProject",41,39,0,-0.11922676566074
"Cell600","SeuratProject",42,41,0,-0.132104934029768
"Cell601","SeuratProject",47,45,0,-0.0821044824376019
"Cell602","SeuratProject",38,38,0,-0.120792137682289
"Cell603","SeuratProject",35,35,0,-0.0750453438428789
"Cell604","SeuratProject",40,40,0,-0.114802720065092
"Cell605","SeuratProject",41,40,0,-0.140315856156687
"Cell606","SeuratProject",30,30,0,-0.0135648302487286
"Cell607","SeuratProject",41,41,0,-0.102402206597157
"Cell608","SeuratProject",52,48,0,0.0395938938135962
"Cell609","SeuratProject",49,43,0,-0.00131015178962124
"Cell610","SeuratProject",45,45,0,-0.089304337797713
"Cell611","SeuratProject",36,33,0,-0.042519340089826
"Cell612","SeuratProject",38,38,0,-0.120792137682289
"Cell613","SeuratProject",37,36,0,-0.108529277334392
"Cell614","SeuratProject",37,35,0,-0.0848603016289688
"Cell615","SeuratProject",46,43,0,-0.0807568128903705
"Cell616","SeuratProject",45,44,0,-0.106674781707554
"Cell617","SeuratProject",37,36,0,-0.108529277334392
"Cell618","SeuratProject",46,45,0,-0.104447736368418
"Cell619","SeuratProject",39,38,0,-0.125911316796102
"Cell620","SeuratProject",46,46,0,-0.0682313220853901
"Cell621","SeuratProject",31,30,0,-0.0441057965385686
"Cell622","SeuratProject",40,39,0,-0.119672188357454
"Cell623","SeuratProject",39,38,0,-0.125911316796102
"Cell624","SeuratProject",49,48,0,-0.0473076105761039
"Cell625","SeuratProject",45,43,0,-0.1094791302964
"Cell626","SeuratProject",42,41,0,-0.132104934029768
"Cell627","SeuratProject",34,33,0,-0.0674238122874688
"Cell628","SeuratProject",31,31,0,-0.0437860536635473
"Cell629","SeuratProject",47,47,0,-0.0403181036746018
"Cell630","SeuratProject",45,45,0,-0.089304337797713
"Cell631","SeuratProject",37,36,0,-0.108529277334392
"Cell632","SeuratProject",36,34,0,-0.083049093154336
"Cell633","SeuratProject",40,39,0,-0.119672188357454
"Cell634","SeuratProject",33,32,0,-0.0601384707826172
"Cell636","SeuratProject",41,39,0,-0.11922676566074
"Cell637","SeuratProject",52,50,0,0.0226004622639941
"Cell638","SeuratProject",49,49,0,-0.00690570705932847
"Cell639","SeuratProject",35,34,0,-0.0935100874590804
"Cell640","SeuratProject",49,47,0,-0.0630020960796193
"Cell641","SeuratProject",33,33,0,-0.0529404493752068
"Cell642","SeuratProject",31,31,0,-0.0437860536635473
"Cell644","SeuratProject",45,44,0,-0.106674781707554
"Cell645","SeuratProject",44,42,0,-0.1108684007134
"Cell646","SeuratProject",30,29,0,0
"Cell647","SeuratProject",50,50,0,0.00581090831645836
"Cell648","SeuratProject",40,40,0,-0.114802720065092
"Cell649","SeuratProject",50,47,0,-0.0219135541627762
"Cell650","SeuratProject",38,38,0,-0.120792137682289
"Cell651","SeuratProject",39,37,0,-0.108202743211851
"Cell652","SeuratProject",48,45,0,-0.0676257493823741
"Cell653","SeuratProject",41,39,0,-0.11922676566074
"Cell654","SeuratProject",45,45,0,-0.089304337797713
"Cell655","SeuratProject",44,42,0,-0.1108684007134
"Cell656","SeuratProject",51,51,0,0.0318573726211886
"Cell658","SeuratProject",36,34,0,-0.083049093154336
"Cell659","SeuratProject",46,46,0,-0.0682313220853901
"Cell660","SeuratProject",44,43,0,-0.113107739462977
"Cell662","SeuratProject",44,42,0,-0.1108684007134
"Cell663","SeuratProject",30,29,0,0
"Cell664","SeuratProject",34,33,0,-0.0674238122874688
"Cell665","SeuratProject",42,40,0,-0.116251208275036
"Cell666","SeuratProject",35,33,0,-0.0550630612165877
"Cell667","SeuratProject",33,32,0,-0.0601384707826172
"Cell668","SeuratProject",45,43,0,-0.1094791302964
"Cell669","SeuratProject",41,40,0,-0.140315856156687
"Cell670","SeuratProject",38,38,0,-0.120792137682289
"Cell671","SeuratProject",42,41,0,-0.132104934029768
"Cell672","SeuratProject",43,40,0,-0.0905215712775407
"Cell673","SeuratProject",40,39,0,-0.119672188357454
"Cell674","SeuratProject",40,40,0,-0.114802720065092
"Cell675","SeuratProject",47,41,0,0.000372875892761582
"Cell676","SeuratProject",41,37,0,-0.0511975858885052
"Cell677","SeuratProject",49,46,0,-0.0359836772743072
"Cell678","SeuratProject",40,39,0,-0.119672188357454
"Cell679","SeuratProject",50,50,0,0.00581090831645836
"Cell680","SeuratProject",45,44,0,-0.106674781707554
"Cell681","SeuratProject",38,34,0,-0.0414565435697968
"Cell682","SeuratProject",44,44,0,-0.0717491333856407
"Cell683","SeuratProject",50,49,0,-0.0185465981334861
"Cell684","SeuratProject",43,42,0,-0.125543566849907
"Cell685","SeuratProject",40,40,0,-0.114802720065092
"Cell686","SeuratProject",47,43,0,-0.0456302531635797
"Cell687","SeuratProject",49,46,0,-0.0359836772743072
"Cell688","SeuratProject",51,49,0,-0.00111293731515005
"Cell689","SeuratProject",42,41,0,-0.132104934029768
"Cell690","SeuratProject",48,45,0,-0.0676257493823741
"Cell691","SeuratProject",38,36,0,-0.0974043618173572
"Cell692","SeuratProject",42,41,0,-0.132104934029768
"Cell693","SeuratProject",39,38,0,-0.125911316796102
"Cell694","SeuratProject",50,50,0,0.00581090831645836
"Cell695","SeuratProject",41,40,0,-0.140315856156687
"Cell696","SeuratProject",35,35,0,-0.0750453438428789
"Cell697","SeuratProject",40,39,0,-0.119672188357454
"Cell698","SeuratProject",51,49,0,-0.00111293731515005
"Cell699","SeuratProject",50,47,0,-0.0219135541627762
"Cell700","SeuratProject",42,42,0,-0.0993157718875632
"Cell701","SeuratProject",37,36,0,-0.108529277334392
"Cell702","SeuratProject",34,34,0,-0.0622168716309411
"Cell703","SeuratProject",34,34,0,-0.0622168716309411
"Cell704","SeuratProject",41,40,0,-0.140315856156687
"Cell705","SeuratProject",40,40,0,-0.114802720065092
"Cell706","SeuratProject",43,42,0,-0.125543566849907
"Cell707","SeuratProject",34,32,0,-0.0423829633623423
"Cell708","SeuratProject",46,43,0,-0.0807568128903705
"Cell709","SeuratProject",40,38,0,-0.10362894103794
"Cell710","SeuratProject",47,47,0,-0.0403181036746018
"Cell711","SeuratProject",35,34,0,-0.0935100874590804
"Cell712","SeuratProject",39,39,0,-0.106535913508881
"Cell713","SeuratProject",36,36,0,-0.0862155507256251
"Cell714","SeuratProject",38,38,0,-0.120792137682289
"Cell715","SeuratProject",46,44,0,-0.0988379931844763
"Cell716","SeuratProject",33,33,0,-0.0529404493752068
"Cell717","SeuratProject",48,46,0,-0.0694425359921111
"Cell718","SeuratProject",33,32,0,-0.0601384707826172
"Cell719","SeuratProject",41,39,0,-0.11922676566074
"Cell720","SeuratProject",36,35,0,-0.100708576765086
"Cell721","SeuratProject",49,49,0,-0.00690570705932847
"Cell722","SeuratProject",32,31,0,-0.0437250879906633
"Cell723","SeuratProject",48,46,0,-0.0694425359921111
"Cell724","SeuratProject",45,45,0,-0.089304337797713
"Cell725","SeuratProject",43,42,0,-0.125543566849907
"Cell726","SeuratProject",32,31,0,-0.0437250879906633
"Cell727","SeuratProject",45,45,0,-0.089304337797713
"Cell728","SeuratProject",35,34,0,-0.0935100874590804
"Cell729","SeuratProject",42,42,0,-0.0993157718875632
"Cell730","SeuratProject",42,41,0,-0.132104934029768
"Cell731","SeuratProject",31,31,0,-0.0437860536635473
"Cell732","SeuratProject",31,30,0,-0.0441057965385686
"Cell733","SeuratProject",40,39,0,-0.119672188357454
"Cell734","SeuratProject",36,35,0,-0.100708576765086
"Cell736","SeuratProject",39,39,0,-0.106535913508881
"Cell737","SeuratProject",45,41,0,-0.0576559680867131
"Cell739","SeuratProject",39,38,0,-0.125911316796102
"Cell740","SeuratProject",32,32,0,-0.0454481190212956
"Cell741","SeuratProject",30,30,0,-0.0135648302487286
"Cell742","SeuratProject",37,36,0,-0.108529277334392
"Cell743","SeuratProject",53,50,0,0.0271321817211436
"Cell744","SeuratProject",33,33,0,-0.0529404493752068
"Cell745","SeuratProject",41,40,0,-0.140315856156687
"Cell746","SeuratProject",41,40,0,-0.140315856156687
"Cell747","SeuratProject",34,32,0,-0.0423829633623423
"Cell748","SeuratProject",36,35,0,-0.100708576765086
"Cell749","SeuratProject",41,40,0,-0.140315856156687
"Cell750","SeuratProject",40,37,0,-0.0752335669708093
"Cell751","SeuratProject",41,41,0,-0.102402206597157
"Cell752","SeuratProject",45,42,0,-0.0879785258568143
"Cell754","SeuratProject",45,45,0,-0.089304337797713
"Cell755","SeuratProject",39,38,0,-0.125911316796102
"Cell756","SeuratProject",45,44,0,-0.106674781707554
"Cell757","SeuratProject",39,36,0,-0.073145077870989
"Cell758","SeuratProject",39,37,0,-0.108202743211851
"Cell759","SeuratProject",38,35,0,-0.062633540134845
"Cell760","SeuratProject",46,44,0,-0.0988379931844763
"Cell762","SeuratProject",33,32,0,-0.0601384707826172
"Cell763","SeuratProject",36,34,0,-0.083049093154336
"Cell764","SeuratProject",33,33,0,-0.0529404493752068
"Cell765","SeuratProject",42,41,0,-0.132104934029768
"Cell766","SeuratProject",44,41,0,-0.0864675835086444
"Cell767","SeuratProject",39,37,0,-0.108202743211851
"Cell768","SeuratProject",39,39,0,-0.106535913508881
"Cell769","SeuratProject",39,37,0,-0.108202743211851
"Cell770","SeuratProject",39,39,0,-0.106535913508881
"Cell771","SeuratProject",44,40,0,-0.0586277460644447
"Cell772","SeuratProject",34,33,0,-0.0674238122874688
"Cell773","SeuratProject",42,41,0,-0.132104934029768
"Cell774","SeuratProject",34,33,0,-0.0674238122874688
"Cell775","SeuratProject",50,50,0,0.00581090831645836
"Cell776","SeuratProject",38,38,0,-0.120792137682289
"Cell777","SeuratProject",49,46,0,-0.0359836772743072
"Cell778","SeuratProject",44,44,0,-0.0717491333856407
"Cell779","SeuratProject",44,43,0,-0.113107739462977
"Cell781","SeuratProject",48,48,0,-0.0267241480606816
"Cell782","SeuratProject",45,42,0,-0.0879785258568143
"Cell783","SeuratProject",45,44,0,-0.106674781707554
"Cell784","SeuratProject",43,41,0,-0.120547462383493
"Cell785","SeuratProject",42,40,0,-0.116251208275036
"Cell786","SeuratProject",46,46,0,-0.0682313220853901
"Cell787","SeuratProject",41,41,0,-0.102402206597157
"Cell788","SeuratProject",37,36,0,-0.108529277334392
"Cell789","SeuratProject",36,34,0,-0.083049093154336
"Cell790","SeuratProject",45,45,0,-0.089304337797713
"Cell791","SeuratProject",33,33,0,-0.0529404493752068
"Cell792","SeuratProject",41,40,0,-0.140315856156687
"Cell793","SeuratProject",51,51,0,0.0318573726211886
"Cell794","SeuratProject",32,32,0,-0.0454481190212956
"Cell795","SeuratProject",38,37,0,-0.126165582837422
"Cell796","SeuratProject",38,36,0,-0.0974043618173572
"Cell797","SeuratProject",44,43,0,-0.113107739462977
"Cell798","SeuratProject",42,42,0,-0.0993157718875632
"Cell799","SeuratProject",37,37,0,-0.0922958951325496
"Cell800","SeuratProject",31,31,0,-0.0437860536635473
"Cell801","SeuratProject",33,31,0,-0.0241043576332021
"Cell802","SeuratProject",46,44,0,-0.0988379931844763
"Cell804","SeuratProject",30,29,0,0
"Cell806","SeuratProject",43,43,0,-0.0981113095577119
"Cell807","SeuratProject",38,38,0,-0.120792137682289
"Cell808","SeuratProject",44,43,0,-0.113107739462977
"Cell809","SeuratProject",37,36,0,-0.108529277334392
"Cell810","SeuratProject",40,40,0,-0.114802720065092
"Cell812","SeuratProject",45,45,0,-0.089304337797713
"Cell813","SeuratProject",30,30,0,-0.0135648302487286
"Cell814","SeuratProject",36,35,0,-0.100708576765086
"Cell815","SeuratProject",42,41,0,-0.132104934029768
"Cell816","SeuratProject",44,42,0,-0.1108684007134
"Cell817","SeuratProject",49,47,0,-0.0630020960796193
"Cell818","SeuratProject",33,32,0,-0.0601384707826172
"Cell819","SeuratProject",41,41,0,-0.102402206597157
"Cell820","SeuratProject",32,32,0,-0.0454481190212956
"Cell821","SeuratProject",47,47,0,-0.0403181036746018
"Cell822","SeuratProject",32,32,0,-0.0454481190212956
"Cell823","SeuratProject",34,31,0,-0.0120128554450388
"Cell824","SeuratProject",44,43,0,-0.113107739462977
"Cell825","SeuratProject",39,37,0,-0.108202743211851
"Cell826","SeuratProject",42,40,0,-0.116251208275036
"Cell827","SeuratProject",37,36,0,-0.108529277334392
"Cell828","SeuratProject",46,44,0,-0.0988379931844763
"Cell829","SeuratProject",36,36,0,-0.0862155507256251
"Cell830","SeuratProject",36,36,0,-0.0862155507256251
"Cell831","SeuratProject",43,43,0,-0.0981113095577119
"Cell832","SeuratProject",45,45,0,-0.089304337797713
"Cell833","SeuratProject",41,40,0,-0.140315856156687
"Cell834","SeuratProject",42,40,0,-0.116251208275036
"Cell835","SeuratProject",40,39,0,-0.119672188357454
"Cell836","SeuratProject",36,34,0,-0.083049093154336
"Cell837","SeuratProject",43,41,0,-0.120547462383493
"Cell838","SeuratProject",44,42,0,-0.1108684007134
"Cell839","SeuratProject",40,37,0,-0.0752335669708093
"Cell840","SeuratProject",53,51,0,0.0369909880530175
"Cell841","SeuratProject",43,41,0,-0.120547462383493
"Cell842","SeuratProject",48,47,0,-0.0546278183463105
"Cell843","SeuratProject",37,36,0,-0.108529277334392
"Cell844","SeuratProject",32,30,0,-0.0274968312766237
"Cell845","SeuratProject",44,43,0,-0.113107739462977
"Cell846","SeuratProject",46,45,0,-0.104447736368418
"Cell847","SeuratProject",42,42,0,-0.0993157718875632
"Cell848","SeuratProject",39,39,0,-0.106535913508881
"Cell849","SeuratProject",35,35,0,-0.0750453438428789
"Cell850","SeuratProject",49,47,0,-0.0630020960796193
"Cell851","SeuratProject",40,40,0,-0.114802720065092
"Cell852","SeuratProject",30,30,0,-0.0135648302487286
"Cell853","SeuratProject",38,38,0,-0.120792137682289
"Cell854","SeuratProject",41,39,0,-0.11922676566074
"Cell855","SeuratProject",35,34,0,-0.0935100874590804
"Cell856","SeuratProject",49,48,0,-0.0473076105761039
"Cell857","SeuratProject",41,38,0,-0.0812969822485509
"Cell858","SeuratProject",43,43,0,-0.0981113095577119
"Cell859","SeuratProject",49,47,0,-0.0630020960796193
"Cell860","SeuratProject",50,48,0,-0.0261396818470294
"Cell861","SeuratProject",37,35,0,-0.0848603016289688
"Cell862","SeuratProject",41,40,0,-0.140315856156687
"Cell863","SeuratProject",44,42,0,-0.1108684007134
"Cell864","SeuratProject",37,36,0,-0.108529277334392
"Cell865","SeuratProject",48,46,0,-0.0694425359921111
"Cell866","SeuratProject",43,41,0,-0.120547462383493
"Cell867","SeuratProject",50,48,0,-0.0261396818470294
"Cell868","SeuratProject",41,41,0,-0.102402206597157
"Cell869","SeuratProject",46,45,0,-0.104447736368418
"Cell870","SeuratProject",46,45,0,-0.104447736368418
"Cell871","SeuratProject",45,44,0,-0.106674781707554
"Cell872","SeuratProject",39,37,0,-0.108202743211851
"Cell873","SeuratProject",31,30,0,-0.0441057965385686
"Cell874","SeuratProject",31,30,0,-0.0441057965385686
"Cell875","SeuratProject",44,42,0,-0.1108684007134
"Cell876","SeuratProject",41,41,0,-0.102402206597157
"Cell877","SeuratProject",40,39,0,-0.119672188357454
"Cell878","SeuratProject",42,40,0,-0.116251208275036
"Cell879","SeuratProject",36,36,0,-0.0862155507256251
"Cell880","SeuratProject",51,51,0,0.0318573726211886
"Cell881","SeuratProject",35,35,0,-0.0750453438428789
"Cell882","SeuratProject",46,44,0,-0.0988379931844763
"Cell883","SeuratProject",41,41,0,-0.102402206597157
"Cell884","SeuratProject",43,43,0,-0.0981113095577119
"Cell885","SeuratProject",38,38,0,-0.120792137682289
"Cell886","SeuratProject",42,40,0,-0.116251208275036
"Cell887","SeuratProject",42,42,0,-0.0993157718875632
"Cell888","SeuratProject",34,32,0,-0.0423829633623423
"Cell889","SeuratProject",44,43,0,-0.113107739462977
"Cell890","SeuratProject",37,36,0,-0.108529277334392
"Cell891","SeuratProject",46,45,0,-0.104447736368418
"Cell892","SeuratProject",38,37,0,-0.126165582837422
"Cell894","SeuratProject",41,39,0,-0.11922676566074
"Cell895","SeuratProject",37,36,0,-0.108529277334392
"Cell896","SeuratProject",45,43,0,-0.1094791302964
"Cell897","SeuratProject",46,45,0,-0.104447736368418
"Cell898","SeuratProject",37,36,0,-0.108529277334392
"Cell899","SeuratProject",45,41,0,-0.0576559680867131
"Cell900","SeuratProject",40,37,0,-0.0752335669708093
"Cell901","SeuratProject",45,43,0,-0.1094791302964
"Cell902","SeuratProject",45,45,0,-0.089304337797713
"Cell904","SeuratProject",39,37,0,-0.108202743211851
"Cell905","SeuratProject",46,41,0,-0.0269271132144001
"Cell906","SeuratProject",38,38,0,-0.120792137682289
"Cell907","SeuratProject",36,35,0,-0.100708576765086
"Cell909","SeuratProject",44,43,0,-0.113107739462977
"Cell910","SeuratProject",50,49,0,-0.0185465981334861
"Cell911","SeuratProject",45,41,0,-0.0576559680867131
"Cell912","SeuratProject",47,46,0,-0.0721330105042981
"Cell913","SeuratProject",37,37,0,-0.0922958951325496
"Cell914","SeuratProject",42,42,0,-0.0993157718875632
"Cell915","SeuratProject",43,42,0,-0.125543566849907
"Cell916","SeuratProject",48,45,0,-0.0676257493823741
"Cell917","SeuratProject",41,39,0,-0.11922676566074
"Cell918","SeuratProject",43,41,0,-0.120547462383493
"Cell919","SeuratProject",49,47,0,-0.0630020960796193
"Cell920","SeuratProject",36,34,0,-0.083049093154336
"Cell921","SeuratProject",41,39,0,-0.11922676566074
"Cell922","SeuratProject",41,40,0,-0.140315856156687
"Cell923","SeuratProject",39,37,0,-0.108202743211851
"Cell924","SeuratProject",44,44,0,-0.0717491333856407
"Cell925","SeuratProject",44,43,0,-0.113107739462977
"Cell926","SeuratProject",42,42,0,-0.0993157718875632
"Cell927","SeuratProject",47,47,0,-0.0403181036746018
"Cell928","SeuratProject",48,45,0,-0.0676257493823741
"Cell929","SeuratProject",38,37,0,-0.126165582837422
"Cell930","SeuratProject",40,37,0,-0.0752335669708093
"Cell931","SeuratProject",44,42,0,-0.1108684007134
"Cell932","SeuratProject",31,30,0,-0.0441057965385686
"Cell933","SeuratProject",42,41,0,-0.132104934029768
"Cell934","SeuratProject",32,32,0,-0.0454481190212956
"Cell935","SeuratProject",49,48,0,-0.0473076105761039
"Cell936","SeuratProject",33,32,0,-0.0601384707826172
"Cell937","SeuratProject",49,45,0,-0.027664356909304
"Cell938","SeuratProject",46,45,0,-0.104447736368418
"Cell939","SeuratProject",38,38,0,-0.120792137682289
"Cell940","SeuratProject",39,36,0,-0.073145077870989
"Cell941","SeuratProject",39,37,0,-0.108202743211851
"Cell942","SeuratProject",44,42,0,-0.1108684007134
"Cell943","SeuratProject",36,34,0,-0.083049093154336
"Cell944","SeuratProject",33,30,0,-0.00954886766292284
"Cell945","SeuratProject",45,43,0,-0.1094791302964
"Cell946","SeuratProject",41,41,0,-0.102402206597157
"Cell947","SeuratProject",40,39,0,-0.119672188357454
"Cell948","SeuratProject",42,42,0,-0.0993157718875632
"Cell949","SeuratProject",37,36,0,-0.108529277334392
"Cell950","SeuratProject",38,38,0,-0.120792137682289
"Cell951","SeuratProject",37,36,0,-0.108529277334392
"Cell952","SeuratProject",29,29,0,0.0345500290821616
"Cell953","SeuratProject",37,35,0,-0.0848603016289688
"Cell954","SeuratProject",35,34,0,-0.0935100874590804
"Cell955","SeuratProject",38,36,0,-0.0974043618173572
"Cell956","SeuratProject",33,31,0,-0.0241043576332021
"Cell957","SeuratProject",38,37,0,-0.126165582837422
"Cell958","SeuratProject",39,37,0,-0.108202743211851
"Cell959","SeuratProject",33,31,0,-0.0241043576332021
"Cell960","SeuratProject",37,37,0,-0.0922958951325496
"Cell961","SeuratProject",49,48,0,-0.0473076105761039
"Cell962","SeuratProject",41,39,0,-0.11922676566074
"Cell963","SeuratProject",42,41,0,-0.132104934029768
"Cell964","SeuratProject",45,44,0,-0.106674781707554
"Cell965","SeuratProject",52,51,0,0.0335827052682939
"Cell966","SeuratProject",43,41,0,-0.120547462383493
"Cell967","SeuratProject",53,50,0,0.0271321817211436
"Cell968","SeuratProject",39,38,0,-0.125911316796102
"Cell969","SeuratProject",44,41,0,-0.0864675835086444
"Cell970","SeuratProject",38,37,0,-0.126165582837422
"Cell971","SeuratProject",35,34,0,-0.0935100874590804
"Cell972","SeuratProject",41,39,0,-0.11922676566074
"Cell973","SeuratProject",37,37,0,-0.0922958951325496
"Cell974","SeuratProject",40,38,0,-0.10362894103794
"Cell975","SeuratProject",43,42,0,-0.125543566849907
"Cell976","SeuratProject",50,47,0,-0.0219135541627762
"Cell977","SeuratProject",42,41,0,-0.132104934029768
"Cell978","SeuratProject",40,38,0,-0.10362894103794
"Cell979","SeuratProject",36,33,0,-0.042519340089826
"Cell980","SeuratProject",39,38,0,-0.125911316796102
"Cell981","SeuratProject",34,33,0,-0.0674238122874688
"Cell982","SeuratProject",34,34,0,-0.0622168716309411
"Cell983","SeuratProject",41,38,0,-0.0812969822485509
"Cell984","SeuratProject",38,37,0,-0.126165582837422
"Cell986","SeuratProject",53,50,0,0.0271321817211436
"Cell987","SeuratProject",37,37,0,-0.0922958951325496
"Cell988","SeuratProject",38,37,0,-0.126165582837422
"Cell989","SeuratProject",49,47,0,-0.0630020960796193
"Cell990","SeuratProject",33,32,0,-0.0601384707826172
"Cell991","SeuratProject",44,42,0,-0.1108684007134
"Cell992","SeuratProject",45,44,0,-0.106674781707554
"Cell993","SeuratProject",39,37,0,-0.108202743211851
"Cell994","SeuratProject",45,43,0,-0.1094791302964
"Cell995","SeuratProject",36,36,0,-0.0862155507256251
"Cell996","SeuratProject",32,31,0,-0.0437250879906633
"Cell997","SeuratProject",38,37,0,-0.126165582837422
"Cell998","SeuratProject",40,40,0,-0.114802720065092
"Cell999","SeuratProject",43,43,0,-0.0981113095577119
"Cell1000","SeuratProject",45,43,0,-0.1094791302964
"Cell1001","SeuratProject",41,41,0,-0.102402206597157
"Cell1002","SeuratProject",39,36,0,-0.073145077870989
"Cell1003","SeuratProject",34,34,0,-0.0622168716309411
"Cell1004","SeuratProject",37,36,0,-0.108529277334392
"Cell1005","SeuratProject",39,37,0,-0.108202743211851
"Cell1006","SeuratProject",46,45,0,-0.104447736368418
"Cell1007","SeuratProject",46,45,0,-0.104447736368418
"Cell1008","SeuratProject",37,35,0,-0.0848603016289688
"Cell1009","SeuratProject",48,46,0,-0.0694425359921111
"Cell1010","SeuratProject",47,45,0,-0.0821044824376019
"Cell1011","SeuratProject",37,37,0,-0.0922958951325496
"Cell1012","SeuratProject",43,41,0,-0.120547462383493
"Cell1013","SeuratProject",40,40,0,-0.114802720065092
"Cell1014","SeuratProject",35,34,0,-0.0935100874590804
"Cell1015","SeuratProject",40,40,0,-0.114802720065092
"Cell1016","SeuratProject",37,36,0,-0.108529277334392
"Cell1017","SeuratProject",53,49,0,0.0420987225899572
"Cell1018","SeuratProject",40,40,0,-0.114802720065092
"Cell1019","SeuratProject",47,42,0,-0.0228544780920765
"Cell1020","SeuratProject",37,37,0,-0.0922958951325496
"Cell1021","SeuratProject",37,36,0,-0.108529277334392
"Cell1022","SeuratProject",51,51,0,0.0318573726211886
"Cell1023","SeuratProject",32,31,0,-0.0437250879906633
"Cell1024","SeuratProject",48,43,0,-0.0312733246219237
"Cell1026","SeuratProject",32,30,0,-0.0274968312766237
"Cell1027","SeuratProject",51,49,0,-0.00111293731515005
